OBJECTID,ORIG_FID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Shape_Length,经度,纬度
149,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013222,30.55529653
150,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013323,30.55529413
151,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013425,30.55529174
152,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013527,30.55528935
153,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013628,30.55528695
154,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301373,30.55528456
155,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013832,30.55528216
156,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3013933,30.55527977
157,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014035,30.55527737
158,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014137,30.55527498
159,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014238,30.55527258
160,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301434,30.55527019
161,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014442,30.55526779
162,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014543,30.55526552
163,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014645,30.55526329
164,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014747,30.55526105
165,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301485,30.55525882
166,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3014952,30.55525659
167,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015054,30.55525436
168,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015156,30.55525213
169,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015258,30.5552499
170,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301536,30.55524767
171,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015462,30.55524544
172,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015564,30.55524321
173,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015666,30.55524098
174,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015768,30.55523874
175,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301587,30.55523651
176,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3015972,30.55523428
177,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016074,30.55523205
178,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016176,30.55522982
179,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016278,30.55522759
180,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301638,30.55522536
181,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016482,30.55522313
182,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016584,30.5552209
183,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016686,30.55521867
184,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016788,30.55521644
185,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.301689,30.5552142
186,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3016992,30.55521197
187,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017094,30.55520974
188,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017196,30.55520751
189,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017298,30.55520528
190,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.30174,30.55520305
191,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017502,30.55520082
192,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017604,30.55519859
193,1,105570368,5122,residential,昙华林路, ,B,0,0,F,F,0,114.3017706,30.55519636
